cust_id,acct_nbr_x,credit_limit,credit_rating,account_active_x,acct_start_date_x,acct_end_date_x,starting_balance_x,ending_balance_x,average_transaction_time_x,CA,CG,FA,IQ_x,PM,tran_amt_x,principal_amt_x,interest_amt_x,new_balance_x,avg_days_btwn_trans_x,acct_nbr_y,minimum_balance_x,per_check_fee,account_active_y,acct_start_date_y,acct_end_date_y,starting_balance_y,ending_balance_y,average_transaction_time_y,DP,FK,FM,FP,FU,IN,IQ_y,TR,WD,tran_amt_y,principal_amt_y,interest_amt_y,new_balance_y,avg_days_btwn_trans_y,acct_nbr,minimum_balance_y,acct_type,account_active,acct_start_date,acct_end_date,starting_balance,ending_balance
1362588,4561143213625880.0,1000.0,0.0,1.0,1992-02-10,,453.45,1000.0,15:05,4.0,33.0,0.0,5.0,12.0,-513.1300000000001,-546.5500000000001,33.6,-1000.0,6.716981132075472,13625882.0,200.0,0.15,1.0,1992-09-12,,230.67,5.87,15:05,15.0,26.0,0.0,2.0,0.0,2.0,19.0,4.0,31.0,-224.80000000000007,-225.47000000000008,0.67,5.87,0.9081632653061223,13625883.0,100.0,BS  ,Y ,1990-10-20,,252.24,9.71
1363261,4561143213632610.0,1000.0,0.0,1.0,1992-09-06,,143.33,1000.0,16:21,3.0,36.0,0.0,1.0,12.0,-831.2199999999999,-856.6700000000001,26.35,-1000.0,6.764705882352941,13632612.0,3000.0,0.0,1.0,1992-03-11,,4185.93,1606.69,16:21,19.0,0.0,0.0,2.0,0.0,2.0,16.0,6.0,54.0,-2579.24,-2585.1,5.859999999999999,1606.69,0.8469387755102041,13632613.0,500.0,MM  ,N ,1989-03-09,1995-09-11,676.68,289.89
1362853,4561143213628530.0,1300.0,0.0,1.0,1995-09-12,,0.0,1073.95,15:17,2.0,17.0,0.0,3.0,3.0,-1051.13,-1073.95,23.45,-1073.95,4.5,13628532.0,3000.0,0.0,1.0,1995-09-13,,3648.96,1875.77,15:17,17.0,0.0,0.0,1.0,1.0,9.0,22.0,10.0,39.0,-1773.19,-1809.85,36.66,1875.77,2.63265306122449,13628533.0,500.0,MM  ,Y ,1995-06-10,,918.64,1025.23
1363057,4561143213630570.0,1000.0,0.0,1.0,1992-01-08,,1010.39,938.43,,2.0,38.0,0.0,2.0,12.0,150.3599999999999,71.96000000000004,79.57000000000001,-938.43,6.773584905660377,,,,,,,,,,,,,,,,,,,,,,,,13630573.0,100.0,BS  ,Y ,1992-08-16,,2311.66,1385.03
1363444,4561143213634440.0,1000.0,0.0,1.0,1995-03-19,,0.0,1000.0,14:04,1.0,45.0,0.0,5.0,9.0,-967.9500000000002,-1000.0,32.05,-1000.0,4.830508474576271,13634442.0,100.0,0.15,1.0,1994-01-23,,165.34,68.22,14:04,13.0,25.0,0.0,0.0,1.0,0.0,20.0,7.0,33.0,-97.12,-97.12,0.0,68.22,0.3775510204081632,,,,,,,,
1362649,4561143213626490.0,1000.0,0.0,1.0,1992-06-17,,187.17,1000.0,14:56,6.0,62.0,0.0,4.0,12.0,-755.16,-812.8299999999999,57.85,-1000.0,4.204819277108434,13626492.0,100.0,0.15,1.0,1995-02-20,,134.68,30.47,14:56,15.0,26.0,0.0,0.0,2.0,0.0,15.0,4.0,37.0,-104.21,-104.21,0.0,30.47,0.2551020408163265,,,,,,,,
1363036,4561143213630360.0,1200.0,0.0,1.0,1995-04-06,,0.0,1200.0,15:27,6.0,32.0,0.0,4.0,8.0,-1160.57,-1200.0,39.79,-1200.0,5.1020408163265305,13630362.0,3000.0,0.0,1.0,1995-07-16,,3301.91,41.36,15:27,14.0,0.0,0.0,1.0,1.0,7.0,11.0,9.0,56.0,-3260.55,-3287.88,27.33,122.71,2.122448979591837,,,,,,,,
1363383,4561143213633830.0,1100.0,7.0,1.0,1992-07-07,,1069.93,0.0,,0.0,0.0,0.0,75.0,7.0,1095.03,1069.9299999999998,25.73,0.0,4.432098765432099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362832,4561143213628320.0,8500.0,0.0,1.0,1995-11-18,,0.0,8500.0,15:57,4.0,24.0,0.0,0.0,1.0,-8500.0,-8500.0,0.0,-8500.0,1.1428571428571428,13628322.0,200.0,0.15,1.0,1995-10-11,,838.43,49.08,15:57,11.0,25.0,0.0,1.0,7.0,9.0,12.0,6.0,28.0,-785.03,-798.8300000000002,13.8,49.08,2.938775510204082,,,,,,,,
1362506,4561143213625060.0,11400.0,0.0,1.0,1995-06-13,,0.0,4216.53,,2.0,20.0,0.0,2.0,6.0,-4216.53,-4216.53,0.0,-4216.53,6.896551724137931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363158,4561143213631580.0,1000.0,7.0,1.0,1991-09-15,,364.24,121.67,20:21,0.0,0.0,0.0,0.0,12.0,282.41,243.47,39.66,-121.67,30.545454545454547,13631582.0,3000.0,0.0,1.0,1994-03-04,,2659.16,1080.81,20:21,5.0,0.0,0.0,12.0,0.0,12.0,2.0,5.0,9.0,-1578.08,-1608.26,30.18,1079.46,7.590909090909091,13631583.0,500.0,MM  ,Y ,1995-07-06,,773.98,1917.72
1362975,4561143213629750.0,1800.0,0.0,1.0,1989-01-27,,556.1,525.5,14:33,0.0,19.0,0.0,0.0,12.0,83.22999999999996,30.600000000000023,53.8,-525.5,11.5,13629752.0,100.0,0.15,0.0,1994-01-10,1995-03-16,258.05,282.92,14:33,15.0,24.0,2.0,1.0,0.0,0.0,17.0,9.0,26.0,24.86999999999999,24.86999999999999,0.0,283.07,0.7849462365591398,,,,,,,,
1362546,4561143213625460.0,3000.0,0.0,1.0,1990-02-19,,2340.61,1292.63,15:47,6.0,61.0,0.0,4.0,12.0,1151.92,1074.5500000000002,77.37,-1292.63,4.378048780487805,13625462.0,3000.0,0.0,1.0,1990-02-19,,2657.17,84.83,15:47,18.0,0.0,0.0,2.0,2.0,2.0,17.0,9.0,49.0,-2572.34,-2573.23,0.8900000000000001,84.83,0.7857142857142857,13625463.0,100.0,BS  ,Y ,1990-02-19,,120.49,991.01
1362771,4561143213627710.0,1200.0,0.0,1.0,1993-11-12,,1127.54,1200.0,15:06,8.0,51.0,0.0,6.0,12.0,35.06999999999987,-72.4600000000001,108.97,-1200.0,4.7368421052631575,13627712.0,100.0,0.15,1.0,1993-05-10,,162.03,141.86,15:06,11.0,26.0,0.0,0.0,9.0,0.0,14.0,7.0,32.0,-20.169999999999984,-20.169999999999984,0.0,142.01,0.2551020408163265,13627713.0,100.0,BS  ,Y ,1995-12-02,,215.21,2361.62
1363484,4561143213634840.0,1000.0,0.0,1.0,1994-01-19,,867.01,408.08,16:26,3.0,23.0,0.0,2.0,11.0,471.14,458.93,12.21,-408.08,9.421052631578949,13634842.0,3000.0,0.0,1.0,1995-03-24,,2600.97,233.06,16:26,12.0,0.0,0.0,5.0,2.0,4.0,29.0,11.0,36.0,-2367.91,-2378.47,10.56,25.15,1.4387755102040816,,,,,,,,
1363097,4561143213630970.0,1100.0,0.0,1.0,1991-04-03,,872.15,1100.0,15:23,3.0,38.0,0.0,1.0,12.0,-168.11999999999992,-227.84999999999985,60.27,-1100.0,6.490566037735849,13630972.0,100.0,0.15,1.0,1994-11-07,,220.02,26.6,15:23,13.0,20.0,0.0,2.0,13.0,0.0,17.0,5.0,29.0,-193.96000000000004,-193.96000000000004,0.0,26.21,1.2857142857142858,13630973.0,100.0,BS  ,Y ,1995-03-26,,183.44,10.28
1362607,4561143213626070.0,3700.0,0.0,1.0,1994-01-23,,1957.45,903.36,16:27,5.0,45.0,0.0,3.0,11.0,1076.7600000000002,1054.09,22.67,-903.36,5.698412698412699,13626072.0,200.0,0.15,1.0,1993-06-29,,290.21,165.23,16:27,14.0,27.0,0.0,1.0,0.0,1.0,20.0,4.0,32.0,-124.98,-125.01999999999995,0.04,165.23,0.3673469387755102,,,,,,,,
1362485,4561143213624850.0,1100.0,0.0,1.0,1992-04-13,,282.38,1100.0,13:35,7.0,50.0,0.0,3.0,12.0,-761.23,-817.6199999999999,56.93,-1100.0,5.070422535211268,13624852.0,100.0,0.15,1.0,1995-09-26,,209.78,45.49,13:35,16.0,23.0,0.0,0.0,1.0,0.0,16.0,13.0,30.0,-164.28999999999996,-164.28999999999996,0.0,45.49,0.1530612244897959,,,,,,,,
1362872,4561143213628720.0,1000.0,0.0,1.0,1992-04-21,,292.41,1000.0,,0.0,53.0,0.0,3.0,12.0,-642.03,-707.5900000000001,66.37,-1000.0,5.17910447761194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362954,4561143213629540.0,6500.0,0.0,1.0,1995-04-11,,0.0,1226.12,15:51,3.0,28.0,0.0,5.0,8.0,-1226.12,-1226.12,0.0,-1226.12,5.906976744186046,13629542.0,3000.0,0.0,1.0,1995-12-16,,5504.29,301.79,15:51,16.0,0.0,0.0,0.0,0.0,11.0,18.0,11.0,43.0,-5202.5,-5278.66,76.16,301.79,3.306122448979592,,,,,,,,
1362586,4561143213625860.0,3700.0,0.0,1.0,1992-01-28,,1374.28,3700.0,14:23,0.0,39.0,0.0,5.0,12.0,-1980.84,-2325.72,344.88,-3700.0,6.581818181818182,13625862.0,100.0,0.15,1.0,1995-10-21,,167.76,260.7,14:23,15.0,19.0,0.0,0.0,12.0,0.0,17.0,9.0,27.0,93.65999999999995,93.65999999999995,0.0,260.7,0.1122448979591836,,,,,,,,
1363219,4561143213632190.0,1000.0,0.0,1.0,1990-11-03,,227.47,1000.0,14:55,6.0,45.0,0.0,2.0,12.0,-728.58,-772.5299999999999,44.58,-1000.0,5.640625,13632192.0,3000.0,0.0,1.0,1989-03-05,,4312.1,13.46,14:55,19.0,0.0,0.0,2.0,1.0,2.0,15.0,12.0,48.0,-4298.28,-4302.36,4.08,26.92,0.8469387755102041,,,,,,,,
1362912,4561143213629120.0,1500.0,0.0,1.0,1992-11-13,,1299.01,1500.0,14:40,3.0,17.0,0.0,4.0,12.0,23.680000000000035,-200.9900000000001,224.67,-1500.0,9.857142857142858,13629122.0,100.0,0.15,1.0,1994-03-13,,174.15,12.7,14:40,13.0,25.0,0.0,0.0,0.0,0.0,17.0,10.0,34.0,-161.0899999999999,-161.0899999999999,0.0,12.7,0.5714285714285714,,,,,,,,
1362811,4561143213628110.0,1000.0,0.0,1.0,1994-04-03,,109.23,1000.0,15:06,7.0,44.0,0.0,6.0,12.0,-871.1299999999998,-890.77,20.09,-1000.0,5.191176470588236,13628112.0,3000.0,0.0,1.0,1995-02-14,,2599.7,278.54,15:06,14.0,0.0,0.0,3.0,9.0,3.0,12.0,7.0,51.0,-2321.16,-2325.38,4.220000000000001,278.54,0.6326530612244898,,,,,,,,
1362708,4561143213627080.0,1000.0,0.0,1.0,1992-01-08,,275.64,1000.0,15:13,1.0,20.0,0.0,3.0,12.0,-594.68,-723.73,130.31,-1000.0,9.771428571428572,13627082.0,200.0,0.15,1.0,1993-08-04,,279.44,325.81,15:13,15.0,22.0,0.0,1.0,0.0,1.0,16.0,14.0,30.0,46.37000000000003,46.36000000000004,0.01,325.96,0.5102040816326531,13627083.0,500.0,MM  ,Y ,1991-05-13,,5006.85,3821.12
1363280,4561143213632800.0,1000.0,0.0,1.0,1993-03-10,,328.17,1000.0,15:29,5.0,51.0,0.0,2.0,12.0,-667.21,-671.8299999999999,4.62,-1000.0,5.057971014492754,13632802.0,200.0,0.15,1.0,1993-11-22,,275.6,269.95,15:29,18.0,17.0,0.0,2.0,1.0,3.0,17.0,12.0,29.0,-5.470000000000017,-5.910000000000039,0.44,269.95,0.8979591836734694,13632803.0,100.0,BS  ,Y ,1993-06-25,,123.96,1706.87
1362565,4561143213625650.0,1400.0,0.0,1.0,1987-02-27,,829.07,1358.19,15:05,1.0,39.0,0.0,3.0,12.0,-473.19999999999993,-529.12,56.19,-1358.19,6.685185185185185,13625652.0,3000.0,0.0,1.0,1995-05-28,,5753.09,271.08,15:05,17.0,0.0,0.0,1.0,0.0,6.0,24.0,15.0,36.0,-5482.01,-5519.42,37.41,271.08,1.683673469387755,13625653.0,100.0,BS  ,Y ,1986-05-22,,319.68,941.16
1363076,4561143213630760.0,7100.0,0.0,1.0,1993-09-03,,6842.2,770.56,15:56,0.0,26.0,0.0,2.0,12.0,6227.09,6071.64,155.45,-770.56,9.128205128205128,13630762.0,200.0,0.15,1.0,1995-04-03,,918.78,67.3,15:56,13.0,19.0,0.0,1.0,3.0,11.0,14.0,8.0,30.0,-851.4800000000001,-863.7000000000002,12.22,67.3,3.326530612244898,,,,,,,,
1363217,4561143213632170.0,3000.0,0.0,1.0,1994-10-26,,571.04,944.16,14:56,0.0,64.0,0.0,2.0,12.0,-273.18999999999994,-373.1200000000002,100.29,-944.16,4.675324675324675,13632172.0,3000.0,0.0,0.0,1994-09-13,1995-12-29,2658.69,110.53,14:56,10.0,0.0,0.0,5.0,0.0,4.0,24.0,12.0,44.0,-2548.16,-2549.3,1.14,110.53,1.5918367346938775,,,,,,,,
1362933,4561143213629330.0,1000.0,0.0,1.0,1990-02-02,,767.27,899.08,13:58,1.0,28.0,0.0,0.0,12.0,-43.66000000000004,-131.81,88.15,-899.08,8.35,13629332.0,100.0,0.15,1.0,1991-10-06,,119.13,215.13,13:58,17.0,26.0,0.0,3.0,0.0,0.0,12.0,3.0,38.0,96.0,96.0,0.0,115.08,1.4387755102040816,13629333.0,100.0,BS  ,Y ,1995-06-03,,268.67,17.18
1363013,4561143213630130.0,1000.0,0.0,1.0,1994-10-26,,844.1,1000.0,15:43,6.0,63.0,0.0,10.0,12.0,-76.53000000000016,-155.90000000000015,79.91,-986.91,3.8666666666666663,13630132.0,200.0,0.15,1.0,1995-05-23,,281.62,14.54,15:43,12.0,26.0,0.0,1.0,0.0,4.0,17.0,6.0,33.0,-267.0799999999999,-268.4799999999999,1.4,14.54,1.479591836734694,,,,,,,,
1363402,4561143213634020.0,1200.0,0.0,1.0,1992-08-15,,1119.41,1200.0,15:28,2.0,18.0,0.0,5.0,12.0,103.02000000000008,-80.59,183.61,-1200.0,9.63888888888889,13634022.0,3000.0,0.0,1.0,1995-02-19,,3294.44,9.62,15:28,18.0,0.0,0.0,2.0,1.0,3.0,19.0,14.0,42.0,-3284.82,-3290.0,5.18,9.62,0.8673469387755102,,,,,,,,
1363482,4561143213634820.0,3000.0,0.0,0.0,1989-07-24,1995-08-23,2917.91,355.26,,5.0,35.0,1.0,4.0,8.0,2701.08,2562.65,139.15,-355.26,4.461538461538462,,,,,,,,,,,,,,,,,,,,,,,,13634823.0,100.0,BS  ,Y ,1989-07-24,,121.85,486.4
1362525,4561143213625250.0,3000.0,0.0,1.0,1992-04-20,,2901.68,1051.01,13:40,8.0,69.0,0.0,9.0,12.0,1953.26,1850.67,103.22,-943.7,3.639175257731959,13625252.0,200.0,0.15,1.0,1992-03-28,,256.46,95.53,13:40,12.0,21.0,0.0,1.0,4.0,0.0,19.0,9.0,33.0,-160.93000000000004,-160.93000000000004,0.0,196.43,0.5204081632653061,13625253.0,100.0,BS  ,Y ,1990-10-17,,284.65,313.46
1362605,4561143213626050.0,1000.0,0.0,1.0,1991-01-11,,705.21,1000.0,16:33,1.0,18.0,0.0,0.0,12.0,-252.66000000000005,-294.7900000000001,43.57,-1000.0,11.466666666666669,13626052.0,200.0,0.15,1.0,1994-05-21,,256.11,7.84,16:33,12.0,15.0,0.0,8.0,1.0,9.0,12.0,9.0,18.0,-248.26999999999987,-250.98999999999987,2.72,7.83,4.349397590361446,13626053.0,500.0,MM  ,Y ,1994-03-26,,593.88,611.94
1363259,4561143213632590.0,1000.0,0.0,1.0,1988-03-11,,380.61,334.29,,4.0,36.0,0.0,3.0,12.0,51.67999999999992,46.3199999999999,5.36,-334.29,6.592592592592593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362727,4561143213627270.0,4100.0,0.0,0.0,1994-05-16,1995-07-14,3673.82,0.0,15:38,3.0,15.0,0.0,1.0,7.0,3968.22,3673.82,294.4,0.0,7.68,13627272.0,200.0,0.15,1.0,1994-04-21,,946.93,392.05,15:38,9.0,26.0,0.0,3.0,0.0,5.0,18.0,8.0,30.0,-554.8799999999998,-556.5699999999998,1.69,392.05,1.816326530612245,13627273.0,100.0,BS  ,Y ,1995-04-16,,8996.64,9132.52
1362973,4561143213629730.0,3000.0,0.0,1.0,1995-02-01,,0.0,734.81,16:06,5.0,31.0,0.0,3.0,10.0,-709.13,-734.6299999999999,25.68,-734.81,6.833333333333333,13629732.0,3000.0,0.0,1.0,1995-02-01,,2803.5,898.28,16:06,16.0,0.0,0.0,4.0,0.0,4.0,20.0,14.0,41.0,-1905.22,-1910.5,5.28,898.28,0.9489795918367347,13629733.0,100.0,BS  ,Y ,1995-02-01,,2273.92,2570.3
1363196,4561143213631960.0,1800.0,0.0,1.0,1993-09-24,,1420.35,1800.0,13:44,15.0,58.0,0.0,11.0,12.0,382.48999999999967,294.74999999999955,87.74,-1800.0,3.5894736842105264,13631962.0,200.0,0.15,1.0,1993-06-24,,456.54,521.66,13:44,15.0,21.0,0.0,0.0,12.0,0.0,15.0,7.0,29.0,65.11999999999995,65.11999999999995,0.0,487.42,0.2142857142857142,,,,,,,,
1362769,4561143213627690.0,1400.0,0.0,1.0,1995-05-06,,0.0,553.09,,0.0,34.0,0.0,1.0,7.0,-553.0900000000003,-553.0900000000003,0.0,-553.09,5.487804878048781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1363461,4561143213634610.0,3500.0,0.0,1.0,1993-09-19,,1575.67,1610.7,15:24,8.0,49.0,0.0,10.0,12.0,54.02000000000015,-35.0299999999998,89.14,-1610.7,4.615384615384615,13634612.0,3000.0,0.0,1.0,1995-03-04,,3144.44,1223.94,15:24,16.0,0.0,0.0,1.0,10.0,3.0,14.0,6.0,49.0,-1920.5,-1931.26,10.76,1223.94,0.8163265306122449,,,,,,,,
1362830,4561143213628300.0,1000.0,0.0,1.0,1994-02-14,,640.41,88.21,13:52,1.0,21.0,0.0,3.0,12.0,623.6099999999999,552.2000000000002,72.4,-88.21,9.72222222222222,13628302.0,100.0,0.15,1.0,1992-10-29,,114.07,528.25,13:52,18.0,24.0,0.0,2.0,0.0,0.0,16.0,8.0,31.0,414.18000000000006,414.18000000000006,0.0,528.4,0.7653061224489796,13628303.0,100.0,BS  ,Y ,1992-01-14,,237.88,35.68
1362584,4561143213625840.0,1000.0,0.0,1.0,1995-09-13,,0.0,1000.0,13:47,4.0,24.0,0.0,3.0,3.0,-995.38,-1000.0,4.62,-982.49,2.8181818181818183,13625842.0,100.0,0.15,1.0,1995-05-01,,119.01,12.5,13:47,12.0,25.0,0.0,0.0,0.0,0.0,17.0,10.0,35.0,-106.06000000000006,-106.06000000000006,0.0,12.5,0.3877551020408163,13625843.0,100.0,BS  ,Y ,1994-06-01,,2032.5,1999.37
1362687,4561143213626870.0,1000.0,0.0,1.0,1995-04-30,,0.0,481.97,13:10,3.0,29.0,0.0,0.0,7.0,-481.97,-481.97,0.0,-481.97,6.131578947368421,13626872.0,100.0,0.15,1.0,1989-09-02,,139.66,194.38,13:10,19.0,27.0,0.0,1.0,1.0,0.0,14.0,5.0,32.0,54.72000000000018,54.72000000000018,0.0,30.93,0.6326530612244898,13626873.0,500.0,MM  ,Y ,1994-07-14,,566.77,1111.42
1363053,4561143213630530.0,2800.0,0.0,1.0,1995-03-01,,0.0,918.09,,0.0,11.0,0.0,1.0,6.0,-918.09,-918.09,0.0,-918.09,15.235294117647058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362952,4561143213629520.0,3000.0,0.0,1.0,1994-06-04,,3038.8,782.77,15:38,2.0,26.0,0.0,4.0,12.0,2361.69,2256.03,106.47,-782.77,8.30232558139535,13629522.0,100.0,0.15,1.0,1994-07-07,,1069.57,473.45,15:38,9.0,13.0,0.0,5.0,2.0,0.0,8.0,6.0,22.0,-596.1199999999999,-596.1199999999999,0.0,473.45,5.53125,13629523.0,100.0,BS  ,N ,1992-01-26,1995-03-31,231.89,232.76
1363175,4561143213631750.0,5000.0,0.0,1.0,1994-11-30,,2179.2,1148.45,15:43,13.0,61.0,0.0,2.0,12.0,1052.36,1030.7499999999998,21.61,-1148.45,4.149425287356322,13631752.0,200.0,0.15,1.0,1994-03-26,,340.48,13.51,15:43,20.0,17.0,0.0,1.0,1.0,1.0,24.0,13.0,22.0,-326.97,-327.2,0.23,13.66,0.5612244897959183,,,,,,,,
1363421,4561143213634210.0,3000.0,0.0,1.0,1988-09-19,,2828.16,814.67,15:46,3.0,39.0,0.0,6.0,12.0,2143.07,2013.49,130.39,-814.67,6.101694915254237,13634212.0,3000.0,0.0,1.0,1988-09-19,,2624.85,918.69,15:46,16.0,0.0,0.0,4.0,0.0,4.0,22.0,14.0,39.0,-1705.98,-1712.02,6.04,918.69,1.479591836734694,13634213.0,100.0,BS  ,Y ,1988-09-19,,191.77,197.64
1362767,4561143213627670.0,1000.0,0.0,1.0,1995-04-13,,0.0,290.54,14:26,5.0,30.0,0.0,3.0,8.0,-252.3,-290.54,38.6,-290.54,5.644444444444445,13627672.0,200.0,0.15,1.0,1993-02-21,,235.4,193.12,14:26,16.0,25.0,0.0,0.0,0.0,2.0,11.0,11.0,34.0,-42.28,-43.420000000000016,1.14,15.72,0.8469387755102041,13627673.0,100.0,BS  ,Y ,1993-03-21,,276.81,1098.48
1362809,4561143213628090.0,3800.0,0.0,1.0,1989-01-31,,2481.47,0.0,16:52,0.0,0.0,0.0,0.0,6.0,2536.72,2481.4700000000003,55.25,0.0,30.0,13628092.0,3000.0,0.0,1.0,1989-01-31,,3199.27,1160.14,16:52,18.0,0.0,0.0,7.0,1.0,11.0,18.0,6.0,38.0,-2039.13,-2072.62,33.49,1160.14,3.438775510204082,13628093.0,100.0,BS  ,Y ,1989-01-31,,270.75,274.83
1362563,4561143213625630.0,1000.0,0.0,1.0,1995-08-07,,0.0,1000.0,15:40,0.0,22.0,0.0,1.0,4.0,-979.62,-1000.0,20.38,-875.75,5.0,13625632.0,100.0,0.15,0.0,1992-05-01,1995-05-15,1025.99,490.56,15:40,16.0,30.0,1.0,0.0,0.0,0.0,12.0,7.0,33.0,-535.4300000000001,-535.4300000000001,0.0,490.56,0.3265306122448979,,,,,,,,
1363135,4561143213631350.0,3000.0,0.0,1.0,1990-03-09,,3139.52,247.32,,2.0,15.0,0.0,2.0,12.0,2963.21,2892.2,71.64,-247.32,11.7,,,,,,,,,,,,,,,,,,,,,,,,13631353.0,500.0,MM  ,N ,1990-04-29,1995-06-19,533.67,540.37
1362624,4561143213626240.0,1400.0,0.0,1.0,1990-11-29,,632.75,1400.0,,9.0,28.0,0.0,0.0,12.0,-698.3400000000001,-767.2499999999999,68.91,-1400.0,7.270833333333333,,,,,,,,,,,,,,,,,,,,,,,,13626243.0,100.0,BS  ,Y ,1993-06-18,,364.47,1028.01
